rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_ret_ge_10_days,abs_ret_ge_20_days,abs_ret_ge_30_days,abs_gap_ge_10_days,range_ge_10_days
6,30,AU,2025,VML.AX,253,1.0,0.1500000059604644,66,47,35,47,144
7,30,AU,2025,1TT.AX,189,1.0,0.0199999995529651,70,53,34,61,52
8,30,AU,2025,BP8.AX,199,1.0,0.0020000000949949,58,44,31,55,53
9,30,AU,2025,IOV.AX,169,1.0,0.1500000059604644,41,39,29,50,38
10,30,AU,2025,ADD.AX,253,1.0,0.0399999991059303,56,41,27,40,71
1,30,CA,2025,MTLO.V,251,1.0,0.0099999997764825,82,78,76,107,110
2,30,CA,2025,MTX.V,251,1.0,0.0199999995529651,63,63,63,62,51
3,30,CA,2025,ACU.V,251,1.0,0.0149999996647238,90,86,59,101,107
4,30,CA,2025,POR.V,251,1.0,0.0099999997764825,55,55,55,60,24
5,30,CA,2025,CSTR.V,251,1.0,0.0149999996647238,90,86,54,100,185
6,30,CA,2025,PUL.V,251,1.0,0.0149999996647238,72,72,54,73,60
7,30,CA,2025,VLI.V,251,1.0,0.0199999995529651,54,54,54,62,68
8,30,CA,2025,PER.V,251,1.0,0.0299999993294477,62,59,52,58,64
9,30,CA,2025,BNG.TO,251,1.0,0.0199999995529651,51,51,51,60,56
10,30,CA,2025,MEK.V,251,1.0,0.0299999993294477,62,62,51,58,51
1,30,CN,2025,300276.SZ,243,0.0,10.899999618530272,10,4,2,3,18
2,30,CN,2025,000615.SZ,243,1.0,1.9028799533844,1,1,1,1,2
3,30,CN,2025,603382.SS,139,0.0,32.220001220703125,2,1,1,1,7
4,30,CN,2025,603400.SS,133,0.0,56.51460266113281,3,2,1,2,11
5,30,CN,2025,301563.SZ,61,0.0,166.0,6,2,1,1,17
1,30,FR,2025,ALIBR.PA,255,1.0,0.0003000000142492,93,92,58,101,222
2,30,FR,2025,MLCOT.PA,255,1.0,0.125,77,46,33,73,20
3,30,FR,2025,MLWEY.PA,255,1.0,0.0149999996647238,65,51,30,57,22
4,30,FR,2025,ALALO.PA,255,0.7137254901960784,0.6000000238418579,107,63,28,67,233
5,30,FR,2025,ALBOO.PA,255,0.0,12.0,104,43,27,95,224
6,30,FR,2025,MLGEQ.PA,255,1.0,0.0160000007599592,36,29,24,38,9
