rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
3,10,range_ge,TH,TWZ.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0299999993294477,0.0290909084406765,0.0399999991059303,242,1.0,242,21,20,41,53,240,242,21,20,41,53,240,227,21,9,30,40,240,37,9,0,9,13,76,0,0,0,0,0,8
4,10,range_ge,TH,MORE.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0354958674139227,0.0599999986588954,242,1.0,242,36,41,77,88,239,181,36,38,74,80,230,117,24,21,45,56,146,57,24,0,24,28,125,0,0,0,0,1,6
5,10,range_ge,TH,TGPRO.BK,2025,242,2025-01-02,2025-12-30,0.0399999991059303,0.0599999986588954,0.0620661152542129,0.0900000035762786,242,1.0,242,35,51,86,92,238,2,1,7,8,5,36,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
6,10,range_ge,TH,STOWER.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0452066111524612,0.0700000002980232,242,1.0,242,31,71,102,97,237,144,26,51,77,71,203,38,8,3,11,18,113,7,3,0,3,4,32,0,0,0,0,0,7
7,10,range_ge,TH,PRIME.BK,2025,242,2025-01-02,2025-12-30,0.0399999991059303,0.0799999982118606,0.0778925617895096,0.1500000059604644,242,1.0,224,35,46,81,95,237,6,3,2,5,10,61,0,0,0,0,1,22,0,0,0,0,0,2,0,0,0,0,0,0
8,10,range_ge,TH,EMC.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.050000000745058,0.0505785119127143,0.0799999982118606,242,1.0,242,22,65,87,71,236,111,17,29,46,43,162,21,3,4,7,9,67,3,1,0,1,4,20,0,0,0,0,0,3
9,10,range_ge,TH,CHO.BK,2025,242,2025-01-02,2025-12-30,0.050000000745058,0.0799999982118606,0.1079752078233671,0.25,242,1.0,142,27,50,77,93,232,0,5,19,24,35,126,0,5,6,11,19,102,0,2,0,2,3,34,0,0,0,0,0,11
10,10,range_ge,TH,NATION.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0299999993294477,0.0314462802965532,0.050000000745058,242,1.0,242,47,36,83,85,231,241,47,36,83,85,231,165,44,22,66,61,222,43,16,1,17,20,107,0,0,0,0,0,8
1,10,range_ge,TW,6682.TWO,2025,242,2025-01-02,2025-12-31,5.5,13.924999713897703,21.5254063290998,70.80000305175781,175,0.7231404958677686,0,0,0,0,30,79,0,0,0,0,9,18,0,0,0,0,4,9,0,0,0,0,0,1,0,0,0,0,0,0
2,10,range_ge,TW,6820.TWO,2025,242,2025-01-02,2025-12-31,51.0,98.57427215576172,102.39308415562654,233.8689422607422,0,0.0,0,0,0,0,22,73,0,0,0,0,7,11,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0
