rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_gap_ge_10_days,abs_gap_ge_20_days,abs_gap_ge_30_days,abs_ret_ge_10_days,range_ge_10_days
2,30,CA,2025,ACU.V,251,1.0,0.0149999996647238,101,97,69,90,107
3,30,CA,2025,CSTR.V,251,1.0,0.0149999996647238,100,96,63,90,185
4,30,CA,2025,MTX.V,251,1.0,0.0199999995529651,62,62,62,63,51
5,30,CA,2025,VLI.V,251,1.0,0.0199999995529651,62,62,62,54,68
6,30,CA,2025,POR.V,251,1.0,0.0099999997764825,60,60,60,55,24
7,30,CA,2025,PUL.V,251,1.0,0.0149999996647238,73,72,60,72,60
8,30,CA,2025,BNG.TO,251,1.0,0.0199999995529651,60,60,60,51,56
9,30,CA,2025,NXS.V,251,1.0,0.25,62,60,59,62,74
10,30,CA,2025,PER.V,251,1.0,0.0299999993294477,58,57,55,62,64
1,30,CN,2025,300276.SZ,243,0.0,10.899999618530272,3,2,2,10,18
2,30,CN,2025,000615.SZ,243,1.0,1.9028799533844,1,1,1,1,2
3,30,CN,2025,688531.SS,243,0.0,61.06533432006836,1,1,1,2,3
1,30,FR,2025,ALIBR.PA,255,1.0,0.0003000000142492,101,99,68,93,222
2,30,FR,2025,ALBOO.PA,255,0.0,12.0,95,46,39,104,224
3,30,FR,2025,ALALO.PA,255,0.7137254901960784,0.6000000238418579,67,48,37,107,233
4,30,FR,2025,MLCOT.PA,255,1.0,0.125,73,47,32,77,20
5,30,FR,2025,MLGEQ.PA,255,1.0,0.0160000007599592,38,32,26,36,9
6,30,FR,2025,MLWEY.PA,255,1.0,0.0149999996647238,57,45,23,65,22
7,30,FR,2025,MLSML.PA,255,1.0,0.0189999993890523,62,40,20,58,34
8,30,FR,2025,MLSEQ.PA,255,1.0,0.0070000002160668,80,34,14,81,25
9,30,FR,2025,MLNMA.PA,255,1.0,0.1049999967217445,42,22,14,42,3
10,30,FR,2025,MLFTI.PA,255,1.0,0.0299999993294477,76,23,11,73,31
1,30,HK,2025,8247.HK,246,0.8495934959349594,0.7649999856948853,31,12,6,35,35
2,30,HK,2025,8280.HK,246,1.0,0.061999998986721,39,12,4,50,69
3,30,HK,2025,8286.HK,246,1.0,0.1080000028014183,42,7,4,47,31
4,30,HK,2025,8067.HK,246,1.0,0.3000000119209289,21,7,4,22,28
5,30,HK,2025,1370.HK,246,0.951219512195122,0.3375000059604645,34,9,4,29,34
6,30,HK,2025,0755.HK,246,0.8170731707317073,0.4600000083446502,16,4,4,16,33
7,30,HK,2025,0426.HK,246,1.0,0.0555000007152556,16,6,3,28,40
8,30,HK,2025,8193.HK,246,1.0,0.1580000072717666,19,4,3,20,15
9,30,HK,2025,0834.HK,246,1.0,0.1689999997615814,8,3,3,12,24
10,30,HK,2025,6163.HK,246,1.0,0.209999993443489,9,4,3,8,16
1,30,JP,2025,8105.T,243,0.5925925925925926,54.0,19,9,4,46,78
2,30,JP,2025,2134.T,243,0.9876543209876544,31.0,9,4,3,35,94
3,30,JP,2025,6993.T,243,0.9670781893004116,34.0,12,5,3,26,88
4,30,JP,2025,4833.T,243,0.6748971193415638,91.0,6,5,3,28,65
5,30,JP,2025,7138.T,243,0.0,154.0,14,6,3,31,52
6,30,JP,2025,7603.T,243,0.0,195.0,8,4,3,18,30
7,30,JP,2025,4594.T,243,0.9958847736625516,48.0,7,2,2,13,38
8,30,JP,2025,5721.T,243,0.382716049382716,122.0,22,8,2,57,110
9,30,JP,2025,6177.T,243,0.3744855967078189,107.0,10,4,2,30,56
10,30,JP,2025,3686.T,243,0.0082304526748971,133.0,4,2,2,8,14
1,30,KR,2025,000300.KS,241,0.0,1172393.0,4,4,4,4,0
2,30,KR,2025,043220.KQ,241,0.8298755186721992,171.0,3,3,3,8,22
3,30,KR,2025,008600.KS,241,1.0,434.0,6,4,2,16,44
4,30,KR,2025,217480.KQ,241,0.979253112033195,500.143310546875,2,2,2,2,0
5,30,KR,2025,091810.KS,241,0.0,2025.0,4,2,2,5,9
6,30,KR,2025,128820.KS,241,0.0,4085.0,4,2,2,13,28
