rank,market,symbol,n_days_total,start_date,end_date,min_close_all,median_close_all,mean_close_all,max_close_all,penny_days_total,penny_day_ratio_total,one_tick_pct_max,one_tick_pct_median
4,UK,KIBO.L,1515,2020-01-02,2025-12-31,7.000000186963007e-05,0.1199999973177909,0.3821552404938137,7.0,1406,0.928052805280528,35.71428476039285,0.0208333337989946
5,UK,UKOG.L,1515,2020-01-02,2025-12-31,9.999999747378752e-05,0.6499999761581421,1.036076897668996,8.5,872,0.5755775577557756,25.00000063155314,0.0042372883239445
6,UK,TRAF.L,1515,2020-01-02,2025-12-31,0.0001800000027287,0.1749999970197677,0.4751123821330387,2.400000095367432,1240,0.8184818481848185,13.888888678341052,0.0142857145289985
7,UK,TRC.L,1515,2020-01-02,2025-12-31,0.0002500000118743,8.050000190734863,12.353474623926552,77.95960235595703,341,0.225082508250825,9.999999525028024,0.0024251949243574
8,UK,ADME.L,1515,2020-01-02,2025-12-31,0.0005499999970197,0.675000011920929,1.499211553422728,6.5,1021,0.6739273927392739,4.545454570085124,0.0037037036382939
9,UK,WCAT.L,1260,2021-01-05,2025-12-31,0.0005499999970197,0.4079999923706054,0.8984665105651531,4.150000095367432,750,0.5952380952380952,4.545454570085124,0.0061275983369803
10,UK,DISH.L,1515,2020-01-02,2025-12-31,0.0006500000017695,0.0042500002309679,0.0103289637491782,0.1299999952316284,1515,1.0,3.846153835683432,0.5882352621497734
1,US,PPCB,1508,2020-01-02,2025-12-31,0.0003999999898951,4.5350000858306885,12659.657748411371,1500000.0,510,0.3381962864721485,25.00000063155627,0.002205202973734
2,US,TII,1251,2021-01-08,2025-12-31,0.0013002402847632,0.550416111946106,0.6463743636653916,3.240000009536743,1134,0.9064748201438848,7.690886151724796,0.0181680728142986
3,US,LIDRW,1251,2021-01-08,2025-12-31,0.003000000026077,0.0790000036358833,0.4202781772556648,3.2699999809265137,999,0.7985611510791367,3.3333333043588893,0.1265822726552105
4,US,RNWWW,1236,2021-02-01,2025-12-31,0.0049999998882412,0.7865000069141388,0.8644029124908174,3.1600000858306885,769,0.622168284789644,2.000000044703521,0.0127146043036009
5,US,MYPSW,1264,2020-12-18,2025-12-31,0.0080000003799796,0.4300000071525574,0.5466289572341109,2.880000114440918,1071,0.8473101265822784,1.2499999406281903,0.0232558135666545
6,US,TLSIW,1230,2021-02-09,2025-12-31,0.0109999999403953,0.9300000071525574,0.8165869908467904,3.015000104904175,683,0.5552845528455285,0.9090909140169174,0.0107526880893449
7,US,APLMW,692,2023-03-30,2025-12-31,0.0130000002682209,0.0260000005364418,0.036705737341346,0.1254000067710876,692,1.0,0.7692307533597104,0.3846153766798552
8,US,CCGWW,575,2023-09-18,2025-12-31,0.0149999996647238,0.0309999994933605,0.0482608697288061,0.550000011920929,575,1.0,0.6666666815678315,0.3225806504332935
9,US,MNYWW,1273,2020-12-07,2025-12-31,0.0179999992251396,0.1700000017881393,0.6128515303427556,5.900000095367432,1017,0.7989002356637863,0.555555579471001,0.0588235287930314
10,US,BBLGW,1059,2021-10-13,2025-12-31,0.0179999992251396,4.0,14.00789803661392,95.0,426,0.4022662889518413,0.555555579471001,0.0025
